,material ids,formula,composition,structure,band gaps,theoretical,stable,density,vpa,packing fraction,structural complexity per atom,structural complexity per cell,max packing efficiency
0,mp-1187912,Zn3Se,Zn3 Se1,"Full Formula (Zn3 Se1)
Reduced Formula: Zn3Se
abc   :   4.146787   4.146787   4.146787
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Zn    0    0.5  0.5        -0
  1  Zn    0.5  0    0.5        -0
  2  Zn    0.5  0.5  0          -0
  3  Se    0    0    0           0",0.0,True,False,6.408285116395397,17.82687395381876,0.5229269374373504,0.8112781244591328,3.2451124978365313,0.7404804896930609
1,mp-982778,Zn3Se,Zn6 Se2,"Full Formula (Zn6 Se2)
Reduced Formula: Zn3Se
abc   :   5.880620   5.880620   4.785091
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Zn    0.159525  0.31905   0.25         0
  1  Zn    0.68095   0.840475  0.25         0
  2  Zn    0.159525  0.840475  0.25         0
  3  Zn    0.840475  0.68095   0.75         0
  4  Zn    0.31905   0.159525  0.75         0
  5  Zn    0.840475  0.159525  0.75         0
  6  Se    0.333333  0.666667  0.75        -0
  7  Se    0.666667  0.333333  0.25        -0",0.0,True,False,6.37734580805244,17.91335995703217,0.5204022373866583,0.8112781244591328,6.490224995673063,0.6745799277706536
2,mp-1190,ZnSe,Zn1 Se1,"Full Formula (Zn1 Se1)
Reduced Formula: ZnSe
abc   :   4.005679   4.005678   4.005679
angles:  59.999997  60.000002  59.999996
pbc   :       True       True       True
Sites (2)
  #  SP        a     b      c    magmom
---  ----  -----  ----  -----  --------
  0  Zn    -0     0     -0           -0
  1  Se     0.25  0.25   0.25         0",1.1663,False,True,5.274845268778988,22.723923858478194,0.3669397307143293,1.0,2.0,0.34008724145668595
3,mp-380,ZnSe,Zn2 Se2,"Full Formula (Zn2 Se2)
Reduced Formula: ZnSe
abc   :   3.996839   3.996838   6.569554
angles:  90.000000  90.000000 120.000006
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.333333  0.666667  0.000521         0
  1  Zn    0.666667  0.333333  0.500521         0
  2  Se    0.333333  0.666667  0.374479        -0
  3  Se    0.666667  0.333333  0.874479        -0",1.2004,False,False,5.27537563285386,22.721639290763317,0.36697662500049266,1.0,4.0,0.339569357940018
4,mp-569679,ZnSe,Zn2 Se2,"Full Formula (Zn2 Se2)
Reduced Formula: ZnSe
abc   :   4.107702   4.107702   6.070350
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a    b        c    magmom
---  ----  ---  ---  -------  --------
  0  Zn    0    0    0              -0
  1  Zn    0.5  0.5  0              -0
  2  Se    0    0.5  0.24628         0
  3  Se    0.5  0    0.75372         0",1.9671,True,False,4.681030279805861,25.606581262695638,0.32563154041771236,1.0,4.0,0.3352157962852257
5,mp-1102515,ZnSe2,Zn4 Se8,"Full Formula (Zn4 Se8)
Reduced Formula: ZnSe2
abc   :   6.374129   6.374129   6.374129
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.5       0.5       0               -0
  1  Zn    0.5       0         0.5             -0
  2  Zn    0         0.5       0.5             -0
  3  Zn    0         0         0               -0
  4  Se    0.108523  0.891477  0.391477        -0
  5  Se    0.891477  0.391477  0.108523        -0
  6  Se    0.391477  0.108523  0.891477        -0
  7  Se    0.608523  0.608523  0.608523        -0
  8  Se    0.891477  0.108523  0.608523        -0
  9  Se    0.108523  0.608523  0.891477        -0
 10  Se    0.608523  0.891477  0.108523        -0
 11  Se    0.391477  0.391477  0.391477        -0",0.7291999999999996,False,True,5.727850373967437,21.581483744185277,0.35597254848491694,0.9182958340544896,11.019550008653875,0.3782582604233564
6,mp-1120762,Cd2S,Cd2 S1,"Full Formula (Cd2 S1)
Reduced Formula: Cd2S
abc   :   3.962670   3.962670   5.809192
angles:  90.000000  90.000000 119.999999
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0.666667  0.333333  0.578735         0
  1  Cd    0.333333  0.666667  0.932717         0
  2  S     0.333333  0.666667  0.365705         0",0.6238999999999999,True,False,5.399692565812861,26.333036186938227,0.44792723737184564,1.584962500721156,4.754887502163468,0.3275909707897533
7,mp-1021511,CdS,Cd1 S1,"Full Formula (Cd1 S1)
Reduced Formula: CdS
abc   :   4.256148   4.256148   5.921180
angles:  90.000000  90.000000 119.999996
pbc   :       True       True       True
Sites (2)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0         0         0.452596        -0
  1  S     0.666667  0.333333  0.424404        -0",1.5192,True,False,2.582691319267617,46.44535728995542,0.21301721510187038,1.0,2.0,0.16843121336813652
8,mp-1181862,CdS,Cd2 S2,"Full Formula (Cd2 S2)
Reduced Formula: CdS
abc   :   3.898104   3.898436   5.511492
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a    b    c    magmom
---  ----  --------  ---  ---  --------
  0  Cd    0.243026  0.5  0.5         0
  1  Cd    0.756974  0    0           0
  2  S     0.255163  0.5  0          -0
  3  S     0.744837  0    0.5        -0",0.2766000000000002,True,False,5.728775327025155,20.93885939760543,0.4725023687512366,1.0,4.0,0.5209032187494955
9,mp-2469,CdS,Cd1 S1,"Full Formula (Cd1 S1)
Reduced Formula: CdS
abc   :   4.161964   4.161964   4.161965
angles:  60.000004  60.000005  60.000007
pbc   :       True       True       True
Sites (2)
  #  SP        a     b     c    magmom
---  ----  -----  ----  ----  --------
  0  Cd    -0     0     0           -0
  1  S      0.25  0.25  0.25         0",1.0492,False,False,4.70613765491418,25.488846669793862,0.38815646672794984,1.0,2.0,0.34008730019863254
