,material ids,formula,composition,structure,band gaps,theoretical,stable,density,vpa,packing fraction,structural complexity per atom,structural complexity per cell,max packing efficiency
0,mp-1183180,Al3P,Al6 P2,"Full Formula (Al6 P2)
Reduced Formula: Al3P
abc   :   5.615221   5.615221   4.761516
angles:  90.000000  90.000000 119.999991
pbc   :       True       True       True
Sites (8)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Al    0.831192  0.168808  0.75        -0
  1  Al    0.337617  0.168808  0.75        -0
  2  Al    0.831192  0.662383  0.75        -0
  3  Al    0.168808  0.831192  0.25        -0
  4  Al    0.662383  0.831192  0.25        -0
  5  Al    0.168808  0.337617  0.25        -0
  6  P     0.666667  0.333333  0.25        -0
  7  P     0.333333  0.666667  0.75        -0",0.0,True,False,2.858714855777335,16.25248127071978,0.44197071100030505,0.8112781244591328,6.490224995673063,0.6926628720059754
1,mp-13178,AlN,Al2 N2,"Full Formula (Al2 N2)
Reduced Formula: AlN
abc   :   3.312115   3.312115   4.187563
angles:  90.000000  90.000000 119.999990
pbc   :       True       True       True
Sites (4)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Al    0.666667  0.333333  0.25         0
  1  Al    0.333333  0.666667  0.75         0
  2  N     0.666667  0.333333  0.75        -0
  3  N     0.333333  0.666667  0.25        -0",3.268700000000001,True,False,3.421648366361545,9.945874645616687,0.46911798666321747,1.0,4.0,0.3681196533050374
2,mp-1330,AlN,Al1 N1,"Full Formula (Al1 N1)
Reduced Formula: AlN
abc   :   2.877243   2.877243   2.877243
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (2)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0.5  0.5  0.5         0
  1  N     0    0    0          -0",4.417499999999999,False,False,4.041045569153921,8.421406081876038,0.5540391526063355,1.0,2.0,0.5235987755982988
3,mp-1700,AlN,Al1 N1,"Full Formula (Al1 N1)
Reduced Formula: AlN
abc   :   3.088633   3.088633   3.088634
angles:  59.999999  59.999996  59.999988
pbc   :       True       True       True
Sites (2)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Al    0     0     0            0
  1  N     0.25  0.25  0.25        -0",3.3056,True,False,3.2668131674492025,10.41727334525941,0.4478896285734598,1.0,2.0,0.34008713365696763
4,mp-661,AlN,Al2 N2,"Full Formula (Al2 N2)
Reduced Formula: AlN
abc   :   3.128588   3.128588   5.016955
angles:  90.000000  90.000000 119.999997
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.666667  0.333333  0.499287         0
  1  Al    0.333333  0.666667  0.999287         0
  2  N     0.666667  0.333333  0.880713        -0
  3  N     0.333333  0.666667  0.380713        -0",4.0467,False,True,3.200889713142437,10.631820769545108,0.43885133040632246,1.0,4.0,0.3387156076368312
5,mp-1550,AlP,Al1 P1,"Full Formula (Al1 P1)
Reduced Formula: AlP
abc   :   3.869972   3.869972   3.869973
angles:  60.000003  60.000007  60.000001
pbc   :       True       True       True
Sites (2)
  #  SP       a      b     c    magmom
---  ----  ----  -----  ----  --------
  0  Al    0     -0     0           -0
  1  P     0.25   0.25  0.25         0",1.6294000000000004,False,True,2.3481923106714797,20.491728962208988,0.30182960882224,1.0,2.0,0.3400872817720999
6,mp-8880,AlP,Al2 P2,"Full Formula (Al2 P2)
Reduced Formula: AlP
abc   :   3.863483   3.863483   6.341443
angles:  90.000000  90.000000 119.999991
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.333333  0.666667  6.9e-05          0
  1  Al    0.666667  0.333333  0.500069         0
  2  P     0.333333  0.666667  0.374931        -0
  3  P     0.666667  0.333333  0.874931        -0",1.9532999999999996,True,False,2.347986071086355,20.493528890126658,0.3018030994034761,1.0,4.0,0.3390556479912747
7,mp-997569,AlP,Al4 P4,"Full Formula (Al4 P4)
Reduced Formula: AlP
abc   :   7.748500   7.748500  12.134315
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Al    0.359689  0.140311  0.5        -0
  1  Al    0.140311  0.640311  0.5        -0
  2  Al    0.859689  0.359689  0.5        -0
  3  Al    0.640311  0.859689  0.5        -0
  4  P     0.154299  0.345701  0.5        -0
  5  P     0.845701  0.654299  0.5        -0
  6  P     0.654299  0.154299  0.5        -0
  7  P     0.345701  0.845701  0.5        -0",2.1634,True,False,0.5283864986785564,91.06689989574484,0.06791721848262788,1.0,8.0,0.06555017569847657
8,mp-1182873,AlP2,Al8 P16,"Full Formula (Al8 P16)
Reduced Formula: AlP2
abc   :   8.937494   8.937494   8.937494
angles: 132.265448 122.311909  78.047871
pbc   :       True       True       True
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.504831  0.585318  0.331291        -0
  1  Al    0.995169  0.32646   0.080487        -0
  2  Al    0.745973  0.914682  0.419513        -0
  3  Al    0.754027  0.17354   0.168709        -0
  4  Al    0.495169  0.414682  0.668709        -0
  5  Al    0.004831  0.67354   0.919513        -0
  6  Al    0.254027  0.085318  0.580487        -0
  7  Al    0.245973  0.82646   0.831291        -0
  8  P     0.5       0.5       0               -0
  9  P     0         0         0               -0
 10  P     0.5       0         0.5             -0
 11  P     0         0.5       0.5             -0
 12  P     0.25      0.614762  0.364762         0
 13  P     0.75      0.885238  0.135238         0
 14  P     0.75      0.385238  0.635238         0
 15  P     0.25      0.114762  0.864762         0
 16  P     0.817692  0.75      0.567692        -0
 17  P     0.682308  0.25      0.932308        -0
 18  P     0.182308  0.25      0.432308        -0
 19  P     0.317692  0.75      0.067692        -0
 20  P     0.516494  0.266494  0.25             0
 21  P     0.983506  0.233506  0.75             0
 22  P     0.483506  0.733506  0.75             0
 23  P     0.016494  0.766494  0.25             0",0.0,True,False,2.727981980106281,18.04388539224195,0.30589884824945995,2.2516291673878226,54.039100017307746,0.3917680774147765
9,mp-1183129,Al3As,Al3 As1,"Full Formula (Al3 As1)
Reduced Formula: Al3As
abc   :   4.125775   4.125775   4.125775
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Al    0    0.5  0.5        -0
  1  Al    0.5  0    0.5         0
  2  Al    0.5  0.5  0          -0
  3  As    0    0    0           0",0.0,True,False,3.6853986222098376,17.557255471581215,0.44019292991028347,0.8112781244591328,3.2451124978365313,0.7404804896930611
